names,n,new_name,word_name
"NC_025361_1 |Avian paramyxovirus 5 strain budgerigar/Kunitachi/74, complete genome",3,NC_025361,Avian_paramyxovirus_5
"NC_025363_1 |Avian paramyxovirus 12 isolate Wigeon/Italy/3920_1/2005, complete genome",4,NC_025363,Avian_paramyxovirus_12
"NC_025373_1 |Avian paramyxovirus 3 strain turkey/Wisconsin/68, complete genome",3,NC_025373,Avian_paramyxovirus_3
"NC_025256_1 |Bat Paramyxovirus Eid_hel/GH-M74a/GHA/2009, complete genome",4,NC_025256,Bat_Paramyxovirus_Eid
"NC_021928_1 |Human parainfluenza virus 4a viral cRNA, complete genome, strain: M-25",3,NC_021928,Human_parainfluenza_virus_4a
"NC_019531_1 |Avian paramyxovirus 4 strain APMV-4/duck/Delaware/549227/2010, complete genome",3,NC_019531,Avian_paramyxovirus_4
"NC_017937_1 |Nariva virus, complete genome",3,NC_017937,Nariva_virus
"NC_009640_1 |Porcine rubulavirus, complete genome",3,NC_009640,Porcine_rubulavirus
"NC_009489_1 |Mapuera virus, complete genome",3,NC_009489,Mapuera_virus
"NC_007803_1 |Beilong virus, complete genome",3,NC_007803,Beilong_virus
"NC_007454_1 |J-virus, complete genome",3,NC_007454,J_virus
"NC_006430_1 |Parainfluenza virus 5, complete genome",3,NC_006430,Parainfluenza_virus_5
"NC_006428_1 |Simian virus 41, complete genome",3,NC_006428,Simian_virus_41
NC_006383_2 |Peste des petits ruminants virus complete genome,3,NC_006383,Peste_des_petits_ruminants_virus
"NC_006296_2 |Rinderpest virus (strain Kabete O), complete genome",3,NC_006296,Rinderpest_virus
"NC_005339_1 |Mossman virus, complete genome",3,NC_005339,Mossman_virus
"NC_005283_1 |Dolphin morbillivirus, complete genome",3,NC_005283,Dolphin_morbillivirus
"NC_005084_2 |Fer-de-lance virus, complete genome",3,NC_005084,Fer_de_lance_virus
"NC_005036_1 |Goose paramyxovirus SF02, complete genome",3,NC_005036,Goose_paramyxovirus_SF02
"NC_003461_1 |Human parainfluenza virus 1, complete genome",3,NC_003461,Human_parainfluenza_virus_1
"NC_004074_1 |Tioman virus, complete genome",3,NC_004074,Tioman_virus
"NC_002728_1 |Nipah virus, complete genome",3,NC_002728,Nipah_virus
"NC_002199_1 |Tupaia paramyxovirus, complete genome",3,NC_002199,Tupaia_paramyxovirus
"NC_002200_1 |Mumps orthorubulavirus genomic RNA, complete genome",3,NC_002200,Mumps_orthorubulavirus
"NC_002161_1 |Bovine parainfluenza virus 3, complete genome",3,NC_002161,Bovine_parainfluenza_virus_3
"NC_001498_1 |Measles virus, complete genome",3,NC_001498,Measles_virus
"NC_001796_2 |Human parainfluenza virus 3, complete genome",3,NC_001796,Human_parainfluenza_virus_3
"NC_001921_1 |Canine distemper virus, complete genome",3,NC_001921,Canine_distemper_virus
"NC_001906_3 |Hendra virus, complete genome",3,NC_001906,Hendra_virus
"NC_001552_1 |Sendai virus genomic RNA, antisense, complete sequence",3,NC_001552,Sendai_virus
"NC_003443_1 |Human rubulavirus 2, complete genome",3,NC_003443,Human_rubulavirus_2
AngV,1,AngV,AngV
MZ574407,1,MZ574407,Gamak_virus
MZ574408,1,MZ574408,Gamak_virus
MZ574409,1,MZ574409,Daeryong_virus
